name,category,asr_model,genai_model,sum_num_words,coverage
abdomen,Dokter Patient,Cohere Labs Transcribe,transcript_Opus-4.8,507,0.5325443786982249
ademhaling,Dokter Patient,Cohere Labs Transcribe,transcript_Opus-4.8,250,0.332
auto-immuunziekten,Dokter Patient,Cohere Labs Transcribe,transcript_Opus-4.8,488,0.44672131147540983
bewegingsapparaat,Dokter Patient,Cohere Labs Transcribe,transcript_Opus-4.8,480,0.4395833333333333
diabetes,Dokter Patient,Cohere Labs Transcribe,transcript_Opus-4.8,418,0.46411483253588515
hartziekten,Dokter Patient,Cohere Labs Transcribe,transcript_Opus-4.8,426,0.39436619718309857
neurologie,Dokter Patient,Cohere Labs Transcribe,transcript_Opus-4.8,513,0.49707602339181284
oncologie,Dokter Patient,Cohere Labs Transcribe,transcript_Opus-4.8,472,0.4470338983050847
GGZ-exposure-therapie,interviews,Cohere Labs Transcribe,transcript_Opus-4.8,538,0.7156133828996283
hulpverleners,interviews,Cohere Labs Transcribe,transcript_Opus-4.8,663,0.8099547511312217
interview-113,interviews,Cohere Labs Transcribe,transcript_Opus-4.8,568,0.6866197183098591
ouder-worden-2040,interviews,Cohere Labs Transcribe,transcript_Opus-4.8,598,0.6923076923076923
ouderen-zorg,interviews,Cohere Labs Transcribe,transcript_Opus-4.8,633,0.627172195892575
seksuele-voorlichting,interviews,Cohere Labs Transcribe,transcript_Opus-4.8,538,0.7267657992565055
verzorgings-staat,interviews,Cohere Labs Transcribe,transcript_Opus-4.8,645,0.6837209302325581
angststoornis,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Opus-4.8,469,0.39658848614072495
antidepressiva,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Opus-4.8,691,0.4182344428364689
baan,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Opus-4.8,722,0.5304709141274239
intake-bedrijf,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Opus-4.8,726,0.5785123966942148
misbruik,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Opus-4.8,631,0.38193343898573695
studie,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Opus-4.8,662,0.4652567975830816
vrijheden,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Opus-4.8,709,0.42595204513399154
abdomen,Dokter Patient,gt,transcript_Opus-4.8,454,0.5330396475770925
ademhaling,Dokter Patient,gt,transcript_Opus-4.8,252,0.27380952380952384
auto-immuunziekten,Dokter Patient,gt,transcript_Opus-4.8,464,0.4525862068965517
bewegingsapparaat,Dokter Patient,gt,transcript_Opus-4.8,494,0.44534412955465585
diabetes,Dokter Patient,gt,transcript_Opus-4.8,438,0.4383561643835616
hartziekten,Dokter Patient,gt,transcript_Opus-4.8,466,0.3969957081545064
neurologie,Dokter Patient,gt,transcript_Opus-4.8,525,0.44761904761904764
oncologie,Dokter Patient,gt,transcript_Opus-4.8,577,0.3708838821490468
GGZ-exposure-therapie,interviews,gt,transcript_Opus-4.8,643,0.6656298600311042
hulpverleners,interviews,gt,transcript_Opus-4.8,655,0.8213740458015267
interview-113,interviews,gt,transcript_Opus-4.8,568,0.7376760563380281
ouder-worden-2040,interviews,gt,transcript_Opus-4.8,594,0.734006734006734
ouderen-zorg,interviews,gt,transcript_Opus-4.8,865,0.6728323699421965
seksuele-voorlichting,interviews,gt,transcript_Opus-4.8,670,0.7268656716417911
