name,category,asr_model,genai_model,sum_num_words,coverage
abdomen,Dokter Patient,Cohere Labs Transcribe,transcript_Sonnet-5,405,0.45925925925925926
ademhaling,Dokter Patient,Cohere Labs Transcribe,transcript_Sonnet-5,181,0.3314917127071823
auto-immuunziekten,Dokter Patient,Cohere Labs Transcribe,transcript_Sonnet-5,374,0.4197860962566845
bewegingsapparaat,Dokter Patient,Cohere Labs Transcribe,transcript_Sonnet-5,325,0.4307692307692308
diabetes,Dokter Patient,Cohere Labs Transcribe,transcript_Sonnet-5,324,0.3395061728395062
hartziekten,Dokter Patient,Cohere Labs Transcribe,transcript_Sonnet-5,313,0.36741214057507987
neurologie,Dokter Patient,Cohere Labs Transcribe,transcript_Sonnet-5,372,0.4166666666666667
oncologie,Dokter Patient,Cohere Labs Transcribe,transcript_Sonnet-5,396,0.39141414141414144
GGZ-exposure-therapie,interviews,Cohere Labs Transcribe,transcript_Sonnet-5,587,0.6439522998296422
hulpverleners,interviews,Cohere Labs Transcribe,transcript_Sonnet-5,721,0.7295423023578363
interview-113,interviews,Cohere Labs Transcribe,transcript_Sonnet-5,444,0.6126126126126126
ouder-worden-2040,interviews,Cohere Labs Transcribe,transcript_Sonnet-5,537,0.5865921787709497
ouderen-zorg,interviews,Cohere Labs Transcribe,transcript_Sonnet-5,964,0.5663900414937759
seksuele-voorlichting,interviews,Cohere Labs Transcribe,transcript_Sonnet-5,530,0.5943396226415094
verzorgings-staat,interviews,Cohere Labs Transcribe,transcript_Sonnet-5,543,0.570902394106814
angststoornis,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Sonnet-5,394,0.3299492385786802
antidepressiva,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Sonnet-5,470,0.42340425531914894
baan,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Sonnet-5,501,0.45109780439121755
intake-bedrijf,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Sonnet-5,661,0.4523449319213313
misbruik,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Sonnet-5,581,0.3528399311531842
studie,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Sonnet-5,536,0.4253731343283582
vrijheden,Psychologische gespreksvoering,Cohere Labs Transcribe,transcript_Sonnet-5,729,0.33607681755829905
abdomen,Dokter Patient,gt,transcript_Sonnet-5,420,0.5380952380952381
ademhaling,Dokter Patient,gt,transcript_Sonnet-5,201,0.32338308457711445
auto-immuunziekten,Dokter Patient,gt,transcript_Sonnet-5,368,0.42934782608695654
bewegingsapparaat,Dokter Patient,gt,transcript_Sonnet-5,399,0.48370927318295737
diabetes,Dokter Patient,gt,transcript_Sonnet-5,397,0.3853904282115869
hartziekten,Dokter Patient,gt,transcript_Sonnet-5,393,0.3638676844783715
neurologie,Dokter Patient,gt,transcript_Sonnet-5,548,0.3978102189781022
oncologie,Dokter Patient,gt,transcript_Sonnet-5,543,0.3738489871086556
GGZ-exposure-therapie,interviews,gt,transcript_Sonnet-5,390,0.6717948717948717
hulpverleners,interviews,gt,transcript_Sonnet-5,509,0.787819253438114
interview-113,interviews,gt,transcript_Sonnet-5,502,0.6454183266932271
ouder-worden-2040,interviews,gt,transcript_Sonnet-5,432,0.6180555555555556
ouderen-zorg,interviews,gt,transcript_Sonnet-5,491,0.6028513238289206
seksuele-voorlichting,interviews,gt,transcript_Sonnet-5,438,0.6689497716894978
verzorgings-staat,interviews,gt,transcript_Sonnet-5,484,0.6239669421487604
angststoornis,Psychologische gespreksvoering,gt,transcript_Sonnet-5,411,0.4257907542579075
antidepressiva,Psychologische gespreksvoering,gt,transcript_Sonnet-5,589,0.44482173174872663
baan,Psychologische gespreksvoering,gt,transcript_Sonnet-5,728,0.4230769230769231
intake-bedrijf,Psychologische gespreksvoering,gt,transcript_Sonnet-5,686,0.5058309037900874
misbruik,Psychologische gespreksvoering,gt,transcript_Sonnet-5,671,0.35767511177347244
studie,Psychologische gespreksvoering,gt,transcript_Sonnet-5,603,0.4593698175787728
vrijheden,Psychologische gespreksvoering,gt,transcript_Sonnet-5,658,0.36322188449848025
abdomen,Dokter Patient,NVIDIA Canary 1B v2,transcript_Sonnet-5,551,0.4355716878402904
ademhaling,Dokter Patient,NVIDIA Canary 1B v2,transcript_Sonnet-5,191,0.3193717277486911
auto-immuunziekten,Dokter Patient,NVIDIA Canary 1B v2,transcript_Sonnet-5,380,0.4052631578947368
bewegingsapparaat,Dokter Patient,NVIDIA Canary 1B v2,transcript_Sonnet-5,393,0.40966921119592875
diabetes,Dokter Patient,NVIDIA Canary 1B v2,transcript_Sonnet-5,337,0.4094955489614243
hartziekten,Dokter Patient,NVIDIA Canary 1B v2,transcript_Sonnet-5,371,0.33153638814016173
neurologie,Dokter Patient,NVIDIA Canary 1B v2,transcript_Sonnet-5,412,0.41019417475728154
oncologie,Dokter Patient,NVIDIA Canary 1B v2,transcript_Sonnet-5,415,0.3614457831325301
GGZ-exposure-therapie,interviews,NVIDIA Canary 1B v2,transcript_Sonnet-5,235,0.6851063829787234
hulpverleners,interviews,NVIDIA Canary 1B v2,transcript_Sonnet-5,355,0.8112676056338028
interview-113,interviews,NVIDIA Canary 1B v2,transcript_Sonnet-5,294,0.6258503401360545
ouder-worden-2040,interviews,NVIDIA Canary 1B v2,transcript_Sonnet-5,344,0.6337209302325582
ouderen-zorg,interviews,NVIDIA Canary 1B v2,transcript_Sonnet-5,402,0.5920398009950248
verzorgings-staat,interviews,NVIDIA Canary 1B v2,transcript_Sonnet-5,369,0.6151761517615176
angststoornis,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_Sonnet-5,385,0.3220779220779221
antidepressiva,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_Sonnet-5,460,0.3717391304347826
baan,Psychologische gespreksvoering,NVIDIA Canary 1B v2,transcript_Sonnet-5,508,0.42913385826771655
