name,category,asr_model,genai_model,sum_num_words,bertscore,rouge,compression_rate,density,coverage,summac
kpni-arts,interviews,Whisper-large-v3-fast,transcript_Claude-Sonnet-5,604,"[0.69539, 0.66889, 0.68188]",0.24592592592592594,0.07029597614324562,1.2450331125827814,0.0,0.516384753944545
ouderen-zorg-2,interviews,Cohere Labs Transcribe,transcript_Claude-Sonnet-5,718,"[0.72692, 0.72998, 0.72845]",0.37475728155339805,0.09778172138420585,1.2910863509749304,0.0,0.39706366182100483
ouderen-zorg-2,interviews,NVIDIA Canary 1B v2,transcript_Claude-Sonnet-5,709,"[0.76491, 0.77056, 0.76772]",0.3864077669902913,0.09898846495119787,1.228490832157969,0.0,0.4005214806113924
verpleegkundige gevangenis,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Claude-Sonnet-5,626,"[0.79741, 0.78767, 0.79251]",0.4086242299794661,0.08898155870632934,1.3690095846645367,0.0,0.22882226898389704
verpleegkundige gevangenis,interviews,NVIDIA Canary 1B v2,transcript_Claude-Sonnet-5,493,"[0.68459, 0.67791, 0.68123]",0.36344969199178645,0.0762487257900102,1.1440162271805274,0.0,0.25171940758203465
kpni-arts,interviews,gt,transcript_Claude-Sonnet-5,676,"[1.0, 1.0, 1.0]",1.0,0.07197750949146753,1.1789940828402368,0.0,0.5009478065185249
verpleegkundige gevangenis,interviews,Qwen3 ASR 1.7B,transcript_Claude-Sonnet-5,483,"[0.67037, 0.66672, 0.66854]",0.4004106776180698,0.07413585395236771,1.1635610766045548,0.0,0.25575014591217043
kpni-arts,interviews,Qwen3 ASR 1.7B,transcript_Claude-Sonnet-5,775,"[0.68248, 0.68894, 0.68569]",0.2637037037037037,0.08856951432587591,1.1638709677419354,0.0,0.5556091844689014
kpni-arts,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Claude-Sonnet-5,692,"[0.67216, 0.71864, 0.69463]",0.24444444444444444,0.08158064134732859,1.239884393063584,0.0,0.6030020718773206
ouderen-zorg-2,interviews,gt,transcript_Claude-Sonnet-5,516,"[1.0, 1.0, 1.0]",1.0,0.07419698314108251,1.3914728682170543,0.0,0.4182024149845044
ouderen-zorg-2,interviews,Whisper-large-v3-fast,transcript_Claude-Sonnet-5,625,"[0.75161, 0.76096, 0.75626]",0.38058252427184464,0.08569653948535937,1.3616,0.0,0.2818006970759096
verpleegkundige gevangenis,interviews,Whisper-large-v3-fast,transcript_Claude-Sonnet-5,539,"[0.72322, 0.70466, 0.71382]",0.41478439425051333,0.08879621907144843,1.2634508348794062,0.0,0.3233887101797497
ouderen-zorg-2,interviews,Qwen3 ASR 1.7B,transcript_Claude-Sonnet-5,596,"[0.78396, 0.80872, 0.79615]",0.39029126213592236,0.07737355811889973,1.3674496644295302,0.0,0.278204316397508
ouderen-zorg-2,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Claude-Sonnet-5,557,"[0.71055, 0.72259, 0.71652]",0.3592233009708738,0.07364685004436557,1.208258527827648,0.0,0.3089871257543564
kpni-arts,interviews,Cohere Labs Transcribe,transcript_Claude-Sonnet-5,568,"[0.70483, 0.70262, 0.70372]",0.1925925925925926,0.0732912074197659,1.1848591549295775,0.0,0.5749854412125913
kpni-arts,interviews,NVIDIA Canary 1B v2,transcript_Claude-Sonnet-5,534,"[0.65892, 0.66547, 0.66218]",0.23555555555555555,0.06676212871612301,1.1872659176029963,0.0,0.5848797583154269
verpleegkundige gevangenis,interviews,Cohere Labs Transcribe,transcript_Claude-Sonnet-5,524,"[0.70507, 0.68792, 0.69639]",0.4271047227926078,0.0812714298952831,1.2099236641221374,0.0,0.3133180669198434
verpleegkundige gevangenis,interviews,gt,transcript_Claude-Sonnet-5,488,"[1.0, 1.0, 1.0]",1.0,0.0769159484755815,1.2745901639344261,0.0,0.31469148558874926
