name,category,asr_model,genai_model,sum_num_words,bertscore,rouge,compression_rate,density,coverage,summac
kpni-arts,interviews,Whisper-large-v3-fast,transcript_Haiku-4.5,366,"[0.63594, 0.62108, 0.62842]",0.1649928263988522,0.04180186807845404,1.355191256830601,0.0,0.5962361249451836
ouderen-zorg-2,interviews,Cohere Labs Transcribe,transcript_Haiku-4.5,478,"[0.66733, 0.66973, 0.66853]",0.10966340933767643,0.05937888198757764,1.3305439330543933,0.0,0.29913447399934134
ouderen-zorg-2,interviews,NVIDIA Canary 1B v2,transcript_Haiku-4.5,556,"[0.58678, 0.6088, 0.59759]",0.13463626492942454,0.07178349600709849,0.9532374100719424,0.0,0.5113120618462562
verpleegkundige gevangenis,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku-4.5,749,"[0.7128, 0.73355, 0.72303]",0.23407407407407407,0.10629228060420721,1.315086782376502,0.0,0.404425852608924
verpleegkundige gevangenis,interviews,NVIDIA Canary 1B v2,transcript_Haiku-4.5,647,"[0.63689, 0.64079, 0.63883]",0.21333333333333335,0.0948197572050783,1.1051004636785162,0.0,0.38655537805136514
kpni-arts,interviews,gt,transcript_Haiku-4.5,698,"[1.0, 1.0, 1.0]",1.0,0.07405315221817896,1.2048710601719197,0.0,0.6216958446800709
verpleegkundige gevangenis,interviews,Qwen3 ASR 1.7B,transcript_Haiku-4.5,627,"[0.67773, 0.70128, 0.6893]",0.18814814814814815,0.08883328699842462,1.1881977671451356,0.0,0.31530004303629805
kpni-arts,interviews,Qwen3 ASR 1.7B,transcript_Haiku-4.5,327,"[0.63405, 0.62178, 0.62786]",0.13199426111908177,0.03696745970231605,1.143730886850153,0.0,0.6277879732458488
kpni-arts,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku-4.5,420,"[0.61068, 0.60461, 0.60763]",0.13773314203730272,0.04842290563707781,0.969047619047619,0.0,0.616408319109016
ouderen-zorg-2,interviews,gt,transcript_Haiku-4.5,922,"[1.0, 1.0, 1.0]",1.0,0.11959183673469388,1.2396963123644251,0.0,0.3395285257288525
ouderen-zorg-2,interviews,Whisper-large-v3-fast,transcript_Haiku-4.5,602,"[0.69578, 0.70246, 0.6991]",0.18783930510314875,0.07494232475598936,1.5315614617940199,0.0,0.37305268701165917
verpleegkundige gevangenis,interviews,Whisper-large-v3-fast,transcript_Haiku-4.5,491,"[0.68822, 0.68329, 0.68575]",0.18222222222222223,0.07547029932351033,1.075356415478615,0.0,0.38394915238022803
ouderen-zorg-2,interviews,Qwen3 ASR 1.7B,transcript_Haiku-4.5,457,"[0.71459, 0.69368, 0.70398]",0.16178067318132464,0.05748003549245785,1.3063457330415755,0.0,0.41145589676770294
ouderen-zorg-2,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku-4.5,407,"[0.69505, 0.67881, 0.68684]",0.13463626492942454,0.053930789707187225,1.1425061425061425,0.0,0.3029414980361859
kpni-arts,interviews,Cohere Labs Transcribe,transcript_Haiku-4.5,423,"[0.59922, 0.5772, 0.58801]",0.15064562410329985,0.04847545355420974,1.177304964539007,0.0,0.6078162910761656
kpni-arts,interviews,NVIDIA Canary 1B v2,transcript_Haiku-4.5,434,"[0.61268, 0.59815, 0.60533]",0.1563845050215208,0.04437671601791884,1.1820276497695852,0.0,0.48415142484009266
verpleegkundige gevangenis,interviews,Cohere Labs Transcribe,transcript_Haiku-4.5,533,"[0.67811, 0.7122, 0.69474]",0.2088888888888889,0.07298674821610601,1.4296435272045027,0.0,0.3269491427961518
verpleegkundige gevangenis,interviews,gt,transcript_Haiku-4.5,676,"[1.0, 1.0, 1.0]",1.0,0.09378185524974515,1.150887573964497,0.0,0.3098312978349302
