name,category,asr_model,genai_model,sum_num_words,bertscore,rouge,compression_rate,density,coverage,summac
kpni-arts,interviews,Whisper-large-v3-fast,transcript_Opus-4.8,828,"[0.71994, 0.72857, 0.72423]",0.336644591611479,0.08908185651791227,1.4673913043478262,0.0,0.5797940403993788
ouderen-zorg-2,interviews,Cohere Labs Transcribe,transcript_Opus-4.8,862,"[0.84361, 0.84417, 0.84389]",0.39486552567237165,0.11907719609582963,1.294663573085847,0.0,0.3088200609385967
ouderen-zorg-2,interviews,NVIDIA Canary 1B v2,transcript_Opus-4.8,1084,"[0.7812, 0.8155, 0.79798]",0.39486552567237165,0.14356699201419698,1.5083025830258303,0.0,0.2790195170347973
verpleegkundige gevangenis,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,748,"[0.62445, 0.64345, 0.63381]",0.41496598639455784,0.11144472245389676,1.4532085561497325,0.0,0.34954019372954087
verpleegkundige gevangenis,interviews,NVIDIA Canary 1B v2,transcript_Opus-4.8,649,"[0.78837, 0.79413, 0.79124]",0.43537414965986393,0.09570938745250672,1.6147919876733436,0.0,0.41088479952443213
kpni-arts,interviews,gt,transcript_Opus-4.8,907,"[1.0, 1.0, 1.0]",1.0,0.09856675556022648,1.4288864388092613,0.0,0.5480972493236715
verpleegkundige gevangenis,interviews,Qwen3 ASR 1.7B,transcript_Opus-4.8,662,"[0.79682, 0.7847, 0.79071]",0.4340136054421769,0.09832267630432769,1.4546827794561934,0.0,0.36819525111628615
kpni-arts,interviews,Qwen3 ASR 1.7B,transcript_Opus-4.8,1168,"[0.72927, 0.7392, 0.7342]",0.3598233995584989,0.1277571235270162,1.4751712328767124,0.0,0.569074032144456
kpni-arts,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,1079,"[0.79247, 0.81795, 0.80501]",0.40507726269315675,0.11685343072213975,1.6404077849860983,0.0,0.6296424837782979
ouderen-zorg-2,interviews,gt,transcript_Opus-4.8,819,"[1.0, 1.0, 1.0]",1.0,0.11277728482697427,1.5103785103785103,0.0,0.29149095763762795
ouderen-zorg-2,interviews,Whisper-large-v3-fast,transcript_Opus-4.8,916,"[0.83672, 0.84295, 0.83982]",0.41442542787286063,0.12425909494232476,1.4770742358078603,0.0,0.28366394530908734
verpleegkundige gevangenis,interviews,Whisper-large-v3-fast,transcript_Opus-4.8,807,"[0.83017, 0.81727, 0.82367]",0.4435374149659864,0.12213881938652581,1.4299876084262702,0.0,0.33503503985000105
ouderen-zorg-2,interviews,Qwen3 ASR 1.7B,transcript_Opus-4.8,1050,"[0.71565, 0.75432, 0.73447]",0.3691931540342298,0.14317657497781722,1.417142857142857,0.0,0.3462705079038612
ouderen-zorg-2,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,1153,"[0.72526, 0.74969, 0.73727]",0.4315403422982885,0.1508784383318545,1.3928881179531656,0.0,0.3185416538148157
kpni-arts,interviews,Cohere Labs Transcribe,transcript_Opus-4.8,805,"[0.59686, 0.63069, 0.61331]",0.33002207505518766,0.08793893932029269,1.4521739130434783,0.0,0.5992786556718841
kpni-arts,interviews,NVIDIA Canary 1B v2,transcript_Opus-4.8,921,"[0.6654, 0.70171, 0.68307]",0.2792494481236203,0.10070808318335282,1.6123778501628665,0.0,0.5966122985119
verpleegkundige gevangenis,interviews,Cohere Labs Transcribe,transcript_Opus-4.8,724,"[0.73124, 0.73918, 0.73519]",0.4217687074829932,0.10369752571587434,1.4696132596685083,0.0,0.3455945054978825
verpleegkundige gevangenis,interviews,gt,transcript_Opus-4.8,736,"[1.0, 1.0, 1.0]",1.0,0.10605133907886201,1.4986413043478262,0.0,0.39503833074487893
