name,category,asr_model,genai_model,sum_num_words,bertscore,rouge,compression_rate,density,coverage,summac
bewegingsapparaat,Dokter Patient,Cohere Labs Transcribe,transcript_Haiku_4.5,198,"[0.6461, 0.6604, 0.65317]",0.1111111111111111,0.41986794717887155,0.6363636363636364,0.0,0.28876050447042173
verzorgings-staat,interviews,NVIDIA Canary 1B v2,transcript_Haiku_4.5,156,"[0.33705, 0.36187, 0.34902]",0.0036231884057971015,0.0456965236342849,0.46794871794871795,0.0,0.43510315364057367
diabetes,Dokter Patient,Cohere Labs Transcribe,transcript_Haiku_4.5,177,"[0.59426, 0.59928, 0.59676]",0.10714285714285714,0.46185425932261376,0.3954802259887006,0.0,0.2662073187530041
hulpverleners,interviews,gt,transcript_Haiku_4.5,316,"[1.0, 1.0, 1.0]",1.0,0.1696661726303903,1.7753164556962024,0.0,0.5194177329540253
ademhaling,Dokter Patient,Qwen3 ASR 1.7B,transcript_Haiku_4.5,241,"[0.46052, 0.51561, 0.48651]",0.13445378151260504,1.6517509727626458,0.14937759336099585,0.0,0.349364448338747
bewegingsapparaat,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,162,"[0.55004, 0.6036, 0.57558]",0.10648148148148148,0.3739495798319328,0.5308641975308642,0.0,0.37514357304289225
GGZ-exposure-therapie,interviews,Whisper-large-v3-fast,transcript_Haiku_4.5,64,"[0.48544, 0.52237, 0.50323]",0.038461538461538464,0.023837688640355594,1.140625,0.0,0.49283852747508455
ademhaling,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Haiku_4.5,95,"[0.66726, 0.68176, 0.67443]",0.15966386554621848,0.7247081712062257,0.29473684210526313,0.0,0.3658272007649595
neurologie,Dokter Patient,Whisper-large-v3-fast,transcript_Haiku_4.5,242,"[0.45399, 0.43626, 0.44495]",0.08786610878661087,0.40408357075023743,0.29338842975206614,0.0,0.4297065573434035
abdomen,Dokter Patient,gt,transcript_Haiku_4.5,259,"[1.0, 1.0, 1.0]",1.0,0.5608046327339226,0.9034749034749034,0.0,0.29382285053531326
studie,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Haiku_4.5,558,"[0.40519, 0.45589, 0.42905]",0.20489296636085627,0.47674098541150567,0.6774193548387096,0.0,0.25006358489394187
verzorgings-staat,interviews,gt,transcript_Haiku_4.5,277,"[1.0, 1.0, 1.0]",1.0,0.07588695558969595,1.3032490974729243,0.0,0.4363425721724828
diabetes,Dokter Patient,Qwen3 ASR 1.7B,transcript_Haiku_4.5,242,"[0.37996, 0.36873, 0.37426]",0.07653061224489796,0.579883681149504,0.2231404958677686,0.0,0.3518640970190366
intake-bedrijf,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Haiku_4.5,480,"[0.5227, 0.51235, 0.51747]",0.18611111111111112,0.24281150159744408,0.85625,0.0,0.168301410585021
