name,category,asr_model,genai_model,sum_num_words,bertscore,rouge,compression_rate,density,coverage,summac
bewegingsapparaat,Dokter Patient,Cohere Labs Transcribe,transcript_Opus-4.8,480,"[0.83591, 0.80637, 0.82088]",0.44016227180527384,0.9270708283313326,1.1729166666666666,0.0,0.38543375954031944
verzorgings-staat,interviews,NVIDIA Canary 1B v2,transcript_Opus-4.8,719,"[0.68821, 0.65844, 0.673]",0.36084656084656086,0.17721247632998677,1.9276773296244785,0.0,0.30589627833278094
diabetes,Dokter Patient,Cohere Labs Transcribe,transcript_Opus-4.8,418,"[0.75966, 0.72717, 0.74306]",0.494279176201373,0.938761546356483,1.0956937799043063,0.0,0.38784289011551487
hulpverleners,interviews,gt,transcript_Opus-4.8,655,"[1.0, 1.0, 1.0]",1.0,0.3270520149622415,3.019847328244275,0.0,0.5343960018888596
ademhaling,Dokter Patient,Qwen3 ASR 1.7B,transcript_Opus-4.8,331,"[0.64138, 0.71441, 0.67593]",0.450199203187251,2.0262645914396886,0.8610271903323263,0.0,0.2410866112581321
bewegingsapparaat,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,642,"[0.76057, 0.74847, 0.75447]",0.46247464503042596,1.2584033613445378,1.0358255451713396,0.0,0.41472077248213085
GGZ-exposure-therapie,interviews,Whisper-large-v3-fast,transcript_Opus-4.8,600,"[0.69004, 0.73567, 0.71212]",0.38006230529595014,0.1588342832562641,1.5166666666666666,0.0,0.5121196713940851
ademhaling,Dokter Patient,NVIDIA Parakeet TDT 0.6B v3,transcript_Opus-4.8,295,"[0.79925, 0.81284, 0.80599]",0.50199203187251,1.7334630350194553,0.7796610169491526,0.0,0.22665596351419626
neurologie,Dokter Patient,Whisper-large-v3-fast,transcript_Opus-4.8,571,"[0.68864, 0.68682, 0.68773]",0.4389312977099237,0.8247863247863247,1.299474605954466,0.0,0.470112379583897
abdomen,Dokter Patient,gt,transcript_Opus-4.8,454,"[1.0, 1.0, 1.0]",1.0,0.9341664126790613,1.2951541850220265,0.0,0.43274807021953166
studie,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Opus-4.8,782,"[0.54724, 0.56942, 0.55811]",0.38387096774193546,0.6398293421414809,1.1381074168797953,0.0,0.381440138651265
verzorgings-staat,interviews,gt,transcript_Opus-4.8,946,"[1.0, 1.0, 1.0]",1.0,0.2356282825395691,1.9492600422832982,0.0,0.35880585154518485
diabetes,Dokter Patient,Qwen3 ASR 1.7B,transcript_Opus-4.8,407,"[0.74982, 0.73924, 0.74449]",0.4416475972540046,0.8782073212452959,1.1670761670761671,0.0,0.37067641304539783
intake-bedrijf,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Opus-4.8,860,"[0.59008, 0.58479, 0.58743]",0.3875968992248062,0.4314696485623003,1.5651162790697675,0.0,0.3813032224917641
angststoornis,Psychologische gespreksvoering,Whisper-large-v3-fast,transcript_Opus-4.8,488,"[0.79932, 0.82345, 0.8112]",0.5766738660907127,1.0927035600986958,0.8586065573770492,0.0,0.34447532104184997
